idItem,type,instance
67,transcription_rev,Brutus Abel
67,transcription_rev,Fabio Fortes
67,transcription_rev,Philippe Gilbert
67,translation_rev,Brutus Abel
67,translation_rev,Fabio Fortes
67,translation_rev,Humberto Schubert Coelho
68,transcription_rev,Brutus Abel
68,transcription_rev,Fabio Fortes
68,translation_rev,Brutus Abel
68,translation_rev,Fabio Fortes
68,translation_rev,Humberto Schubert Coelho
69,transcription_rev,Brutus Abel
69,transcription_rev,Dmitri Cerboncini
69,transcription_rev,Fabio Fortes
69,translation_rev,Brutus Abel
69,translation_rev,Dmitri Cerboncini
69,translation_rev,Fabio Fortes
70,transcription_rev,Dmitri Cerboncini
70,transcription_rev,Fabio Fortes
70,translation_rev,Dmitri Cerboncini
70,translation_rev,Fabio Fortes
70,translation_rev,Humberto Schubert Coelho
71,transcription_rev,Brutus Abel
71,transcription_rev,Fabio Fortes
71,translation_rev,Brutus Abel
71,translation_rev,Fabio Fortes
71,translation_rev,Humberto Schubert Coelho
72,transcription_rev,Brutus Abel
72,transcription_rev,Fabio Fortes
72,transcription_rev,Philippe Gilbert
72,translation_rev,Alexandre Caroli
72,translation_rev,Brutus Abel
72,translation_rev,Humberto Schubert Coelho
73,transcription_rev,Fabio Fortes
73,transcription_rev,Philippe Gilbert
73,translation_rev,Brutus Abel
73,translation_rev,Fabio Fortes
74,transcription_rev,Brutus Abel
74,transcription_rev,Fabio Fortes
74,transcription_rev,Philippe Gilbert
74,translation_rev,Alexandre Caroli
74,translation_rev,Brutus Abel
74,translation_rev,Humberto Schubert Coelho
75,transcription_rev,Brutus Abel
75,transcription_rev,Fabio Fortes
75,translation_rev,Alexandre Caroli
75,translation_rev,Brutus Abel
75,translation_rev,Humberto Schubert Coelho
76,transcription_rev,Brutus Abel
76,transcription_rev,Fabio Fortes
76,translation_rev,Brutus Abel
77,transcription_rev,Brutus Abel
77,transcription_rev,Philippe Gilbert
77,translation_rev,Alexandre Caroli
77,translation_rev,Brutus Abel
77,translation_rev,Humberto Schubert Coelho
78,transcription_rev,Brutus Abel
78,transcription_rev,Luciana Farias
78,transcription_rev,Philippe Gilbert
78,translation_rev,Brutus Abel
78,translation_rev,Fabio Fortes
78,translation_rev,Humberto Schubert Coelho
80,transcription_rev,Brutus Abel
80,transcription_rev,Marcelo Gulão
80,translation_rev,Marcelo Gulão
80,translation_rev,Fabio Fortes
80,translation_rev,Humberto Schubert Coelho
81,transcription_rev,Canuto Abreu
81,translation_rev,Humberto Schubert Coelho
82,translation_rev,Humberto Schubert Coelho
83,transcription_rev,Victor Saliba
83,translation_rev,Alexandre Caroli
84,transcription_rev,Philippe Gilbert
84,translation_rev,Alexandre Caroli
84,translation_rev,Marcelo Gulão
85,transcription_rev,Victor Saliba
85,translation_rev,Alexandre Caroli
86,transcription_rev,Brutus Abel
86,translation_rev,Alexandre Caroli
87,transcription_rev,Philippe Gilbert
87,transcription_rev,Victor Saliba
87,translation_rev,Alexandre Caroli
115,transcription_rev,Philippe Gilbert
115,translation_rev,Alexandre Caroli
120,transcription_rev,Charles Kempf
120,translation_rev,Brutus Abel
124,transcription_rev,Charles Kempf
124,translation_rev,Alexandre Caroli
124,translation_rev,Marcelo Gulão
126,transcription_rev,Philippe Gilbert
126,translation_rev,Alexandre Caroli
140,transcription_rev,Alexandre Caroli
140,transcription_rev,Philippe Gilbert
140,translation_rev,Alexandre Caroli
141,transcription_rev,Charles Kempf
141,transcription_rev,Victor Saliba
141,translation_rev,Alexandre Caroli
141,translation_rev,Luís Lira
142,transcription_rev,Charles Kempf
142,translation_rev,Alexandre Caroli
144,transcription_rev,Charles Kempf
144,transcription_rev,Philippe Gilbert
144,translation_rev,Alexandre Caroli
144,translation_rev,Fábio Fortes
145,transcription_rev,Brutus Abel
145,translation_rev,Brutus Abel
145,translation_rev,Philippe Gilbert
149,transcription_rev,Brutus Abel
149,translation_rev,Alexandre Caroli
154,transcription_rev,Brutus Abel
154,transcription_rev,Fábio Fortes
154,translation_rev,Brutus Abel
154,translation_rev,Fábio Fortes
154,translation_rev,Humberto Schubert Coelho
154,translation_rev,Silvio Chibeni
155,transcription_rev,Brutus Abel
155,transcription_rev,Fábio Fortes
155,translation_rev,Brutus Abel
155,translation_rev,Fábio Fortes
155,translation_rev,Humberto Schubert Coelho
155,translation_rev,Silvio Chibeni
156,transcription_rev,Brutus Abel
156,transcription_rev,Fábio Fortes
156,translation_rev,Fábio Fortes
156,translation_rev,Humberto Schubert Coelho
156,translation_rev,Silvio Chibeni
157,transcription_rev,Brutus Abel
157,transcription_rev,Fábio Fortes
157,translation_rev,Brutus Abel
157,translation_rev,Fábio Fortes
157,translation_rev,Humberto Schubert Coelho
158,transcription_rev,Brutus Abel
158,transcription_rev,Fábio Fortes
158,translation_rev,Brutus Abel
158,translation_rev,Fábio Fortes
158,translation_rev,Humberto Schubert Coelho
159,transcription_rev,Brutus Abel
159,transcription_rev,Fábio Fortes
159,translation_rev,Brutus Abel
159,translation_rev,Fábio Fortes
159,translation_rev,Humberto Schubert Coelho
160,transcription_rev,Brutus Abel
160,transcription_rev,Fábio Fortes
160,translation_rev,Brutus Abel
160,translation_rev,Fábio Fortes
160,translation_rev,Humberto Schubert Coelho
161,transcription_rev,Brutus Abel
161,transcription_rev,Fábio Fortes
161,translation_rev,Brutus Abel
161,translation_rev,Fábio Fortes
161,translation_rev,Humberto Schubert Coelho
162,transcription_rev,Brutus Abel
162,transcription_rev,Fábio Fortes
162,translation_rev,Brutus Abel
162,translation_rev,Fábio Fortes
162,translation_rev,Humberto Schubert Coelho
163,transcription_rev,Brutus Abel
163,transcription_rev,Fábio Fortes
163,translation_rev,Brutus Abel
163,translation_rev,Fábio Fortes
163,translation_rev,Humberto Schubert Coelho
164,transcription_rev,Alexandre Caroli
164,transcription_rev,Brutus Abel
164,translation_rev,Brutus Abel
164,translation_rev,Fábio Fortes
164,translation_rev,Humberto Schubert Coelho
165,transcription_rev,Brutus Abel
165,transcription_rev,Fábio Fortes
165,translation_rev,Brutus Abel
165,translation_rev,Fábio Fortes
165,translation_rev,Humberto Schubert Coelho
166,transcription_rev,Brutus Abel
166,transcription_rev,Fábio Fortes
166,translation_rev,Brutus Abel
166,translation_rev,Fábio Fortes
166,translation_rev,Humberto Schubert Coelho
167,transcription_rev,Brutus Abel
167,transcription_rev,Fábio Fortes
167,translation_rev,Brutus Abel
167,translation_rev,Fábio Fortes
167,translation_rev,Humberto Schubert Coelho
168,transcription_rev,Brutus Abel
168,transcription_rev,Fábio Fortes
168,translation_rev,Brutus Abel
168,translation_rev,Fábio Fortes
169,transcription_rev,Brutus Abel
169,transcription_rev,Fábio Fortes
169,translation_rev,Brutus Abel
169,translation_rev,Fábio Fortes
169,translation_rev,Humberto Schubert Coelho
170,transcription_rev,Brutus Abel
170,transcription_rev,Fábio Fortes
170,translation_rev,Brutus Abel
170,translation_rev,Fábio Fortes
170,translation_rev,Humberto Schubert Coelho
171,transcription_rev,Brutus Abel
171,transcription_rev,Alexandre Caroli
171,translation_rev,Brutus Abel
171,translation_rev,Fábio Fortes
171,translation_rev,Humberto Schubert Coelho
172,transcription_rev,Brutus Abel
172,transcription_rev,Alexandre Caroli
172,translation_rev,Brutus Abel
172,translation_rev,Fábio Fortes
172,translation_rev,Humberto Schubert Coelho
173,transcription_rev,Brutus Abel
173,transcription_rev,Fábio Fortes
173,translation_rev,Brutus Abel
